# Add cells
Pos_i Pos_J Pos_K
125 119 160
123 119 161
124 119 161
125 119 161
121 119 162
122 119 162
123 119 162
124 119 162
120 119 163
121 119 163
122 119 163
118 119 164
119 119 164
120 119 164
117 119 165
118 119 165
119 119 165
107 119 166
108 119 166
109 119 166
110 119 166
111 119 166
112 119 166
113 119 166
114 119 166
115 119 166
116 119 166
117 119 166
107 119 167
108 119 167
109 119 167
110 119 167
111 119 167
112 119 167
113 119 167
114 119 167
116 119 167
116 119 167
103 120 164
98 120 165
99 120 165
100 120 165
101 120 165
102 120 165
103 120 165
104 120 165
105 120 165
106 120 165
97 120 166
98 120 166
99 120 166
100 120 166
101 120 166
105 120 166
106 120 166
95 120 167
96 120 167
97 120 167
90 120 168
91 120 168
92 120 168
93 120 168
94 120 168
95 120 168
96 120 168
88 120 169
89 120 169
90 120 169
91 120 169
92 120 169
93 120 169
94 120 169
95 120 169
86 120 170
87 120 171
88 120 171
89 120 171
84 120 171
85 120 171
86 120 171
87 120 171
84 120 172
68 121 169
69 121 169
70 121 169
71 121 169
72 121 169
73 121 169
66 121 170
67 121 170
68 121 170
69 121 170
71 121 170
72 121 170
73 121 170
74 121 170
75 121 170
76 121 170
61 121 171
62 121 171
63 121 171
64 121 171
65 121 171
66 121 171
67 121 171
73 121 171
74 121 171
75 121 171
76 121 171
77 121 171
78 121 171
79 121 171
60 121 172
61 121 172
62 121 172
77 121 172
78 121 172
79 121 172
80 121 172
81 121 172
82 121 172
80 121 173
81 121 173
82 121 173
57 122 172
58 122 172
59 122 172
55 122 173
56 122 173
57 122 173
58 122 173
59 122 173
53 122 174
54 122 174
55 122 174
56 122 174
51 122 175
52 122 175
53 122 175
54 122 175
49 122 176
50 122 176
51 122 176
52 122 176
37 122 177
38 122 177
39 122 177
40 122 177
41 122 177
42 122 177
43 122 177
44 122 177
47 122 177
48 122 177
49 122 177
50 122 177
37 122 178
38 122 178
39 122 178
42 122 178
43 122 178
44 122 178
45 122 178
46 122 178
47 122 178
48 122 178




# Remove cells
Pos_i Pos_J Pos_K
124 69 193
